species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
3,Biscoe,,15.0,220.0,5000.0,Male
3,Biscoe,52.1,17.0,230.0,5550.0,Male
3,Biscoe,45.8,14.2,219.0,4700.0,Female
3,Biscoe,46.8,15.4,215.0,5150.0,Male
1,Biscoe,39.6,20.7,191.0,3900.0,Female
3,Biscoe,46.8,14.3,215.0,4850.0,Female
3,Biscoe,46.1,15.1,215.0,5100.0,Male
3,Biscoe,48.7,14.1,210.0,4450.0,Female
3,Biscoe,46.5,14.5,213.0,4400.0,Female
3,Biscoe,46.3,15.8,215.0,5050.0,Male
3,Biscoe,45.2,16.4,223.0,5950.0,Male
3,Biscoe,45.5,13.9,210.0,4200.0,Female
3,Biscoe,45.5,13.7,214.0,4650.0,Female
3,Biscoe,43.6,13.9,217.0,4900.0,Female
3,Biscoe,48.1,15.1,209.0,5500.0,Male
3,Biscoe,45.2,14.8,212.0,5200.0,Female
3,Biscoe,44.4,17.3,219.0,5250.0,Male
3,Biscoe,43.8,13.9,208.0,4300.0,Female
1,Biscoe,40.6,18.8,193.0,3800.0,Male
3,Biscoe,42.0,13.5,210.0,4150.0,Female
3,Biscoe,,14.0,212.0,4875.0,Female
3,Biscoe,46.2,14.5,209.0,4800.0,Female
3,Biscoe,49.0,16.1,216.0,5550.0,Male
3,Biscoe,40.9,13.7,214.0,4650.0,Female
1,Biscoe,41.3,21.1,195.0,4400.0,Male
3,Biscoe,49.8,,229.0,5950.0,Male
3,Biscoe,43.4,14.4,218.0,4600.0,Female
3,Biscoe,49.4,15.8,216.0,4925.0,Male
1,Biscoe,35.9,19.2,189.0,3800.0,Female
3,Biscoe,48.2,,221.0,5100.0,Male
1,Biscoe,40.1,18.9,188.0,4300.0,Male
1,Biscoe,43.2,19.0,197.0,,Male
1,Biscoe,41.1,18.2,192.0,4050.0,Male
3,Biscoe,49.9,16.1,213.0,5400.0,Male
3,Biscoe,48.4,14.4,203.0,4625.0,Female
3,Biscoe,44.5,14.3,216.0,4100.0,
3,Biscoe,49.1,14.5,212.0,4625.0,Female
3,Biscoe,46.2,14.1,217.0,4375.0,Female
3,Biscoe,59.6,17.0,230.0,,Male
1,Biscoe,37.6,,194.0,3750.0,Male
3,Biscoe,55.1,16.0,230.0,5850.0,Male
1,Biscoe,35.0,17.9,192.0,3725.0,Female
1,Biscoe,38.6,17.2,199.0,3750.0,Female
3,Biscoe,50.8,15.7,226.0,5200.0,Male
3,Biscoe,44.5,14.7,214.0,4850.0,Female
3,Biscoe,50.4,15.3,224.0,5550.0,Male
1,Biscoe,40.6,18.6,183.0,,Male
1,Biscoe,35.0,17.9,190.0,3450.0,Female
3,Biscoe,45.8,14.6,210.0,4200.0,Female
3,Biscoe,49.5,16.2,229.0,5800.0,Male
3,Biscoe,42.6,13.7,213.0,,Female
3,Biscoe,50.0,15.9,224.0,5350.0,Male
3,Biscoe,50.5,15.9,222.0,5550.0,Male
3,Biscoe,44.9,13.8,212.0,4750.0,Female
3,Biscoe,48.4,14.6,213.0,5850.0,Male
3,Biscoe,48.4,16.3,220.0,5400.0,Male
3,Biscoe,44.0,13.6,208.0,4350.0,Female
3,Biscoe,49.6,16.0,225.0,,Male
3,Biscoe,47.4,14.6,212.0,4725.0,Female
1,Biscoe,37.9,18.6,172.0,3150.0,Female
