species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
1,Dream,38.1,17.6,187.0,3425.0,Female
2,Dream,50.9,19.1,196.0,3550.0,Male
1,Dream,42.3,21.2,191.0,,Male
2,Dream,48.1,16.4,199.0,3325.0,Female
2,Dream,51.0,18.8,203.0,4100.0,Male
1,Dream,,19.1,184.0,4650.0,Male
1,Dream,40.8,18.4,195.0,3900.0,Male
1,Dream,37.0,16.5,185.0,3400.0,Female
2,Dream,,18.1,201.0,4050.0,Male
1,Dream,36.0,17.1,187.0,3700.0,Female
2,Dream,52.0,,197.0,,Male
1,Dream,32.1,15.5,188.0,3050.0,Female
1,Dream,36.6,18.4,184.0,3475.0,Female
2,Dream,45.2,17.8,198.0,3950.0,Female
1,Dream,35.7,18.0,202.0,3550.0,Female
1,Dream,41.5,18.5,201.0,4000.0,Male
1,Dream,37.3,16.8,192.0,3000.0,Female
2,Dream,,18.7,198.0,3775.0,Female
2,Dream,45.7,17.3,193.0,3600.0,Female
1,Dream,34.0,17.1,185.0,3400.0,Female
1,Dream,40.9,18.9,184.0,3900.0,Male
1,Dream,37.0,16.9,185.0,3000.0,Female
2,Dream,58.0,17.8,181.0,3700.0,Female
1,Dream,43.2,18.5,192.0,4100.0,Male
1,Dream,41.3,20.3,194.0,3550.0,Male
2,Dream,50.3,20.0,197.0,3300.0,Male
1,Dream,39.2,18.6,190.0,4250.0,Male
2,Dream,46.4,17.8,191.0,3700.0,Female
2,Dream,50.1,17.9,190.0,3400.0,Female
2,Dream,50.0,19.5,196.0,3900.0,Male
2,Dream,51.4,19.0,201.0,,Male
2,Dream,50.5,18.4,200.0,3400.0,Female
2,Dream,46.7,17.9,195.0,3300.0,Female
2,Dream,45.7,17.0,195.0,3650.0,Female
2,Dream,51.3,18.2,197.0,,Male
1,Dream,39.5,16.7,178.0,,Female
1,Dream,37.6,19.3,181.0,3300.0,Female
2,Dream,,17.5,187.0,3650.0,Female
2,Dream,47.6,18.3,195.0,3850.0,Female
1,Dream,41.1,17.5,190.0,3900.0,Male
1,Dream,38.1,18.6,190.0,3700.0,Female
2,Dream,53.5,,205.0,4500.0,Male
2,Dream,42.5,16.7,187.0,3350.0,Female
1,Dream,40.7,17.0,190.0,,Male
2,Dream,49.2,18.2,195.0,4400.0,Male
1,Dream,36.0,18.5,186.0,3100.0,Female
1,Dream,36.4,17.0,195.0,3325.0,Female
1,Dream,38.9,18.8,190.0,3600.0,Female
2,Dream,47.5,16.8,199.0,3900.0,Female
2,Dream,52.8,20.0,205.0,,Male
1,Dream,39.6,18.8,190.0,4600.0,Male
2,Dream,52.2,18.8,197.0,3450.0,Male
2,Dream,49.7,18.6,195.0,3600.0,Male
2,Dream,49.0,19.6,212.0,4300.0,Male
1,Dream,36.8,18.5,193.0,3500.0,Female
1,Dream,40.3,18.5,196.0,4350.0,Male
2,Dream,49.8,17.3,198.0,3675.0,Female
2,Dream,50.6,19.4,193.0,3800.0,Male
2,Dream,,18.7,188.0,3525.0,Female
1,Dream,44.1,19.7,196.0,4400.0,Male
2,Dream,43.2,16.6,187.0,2900.0,Female
2,Dream,46.9,16.6,192.0,2700.0,Female
1,Dream,,17.3,187.0,3300.0,Female
1,Dream,37.8,18.1,193.0,3750.0,Male
1,Dream,40.2,17.1,193.0,3400.0,Female
2,Dream,50.7,19.7,203.0,4050.0,Male
2,Dream,45.6,19.4,194.0,3525.0,Female
1,Dream,36.9,18.6,189.0,3500.0,Female
2,Dream,46.0,18.9,195.0,4150.0,Female
2,Dream,52.7,19.8,197.0,3725.0,Male
2,Dream,54.2,20.8,201.0,4300.0,Male
2,Dream,51.3,19.9,198.0,3700.0,Male
2,Dream,51.5,18.7,187.0,3250.0,Male
1,Dream,35.6,17.5,191.0,3175.0,Female
1,Dream,36.0,17.8,195.0,3450.0,Female
1,Dream,36.5,18.0,182.0,3150.0,Female
2,Dream,45.2,16.6,191.0,3250.0,Female
1,Dream,33.1,16.1,178.0,2900.0,Female
1,Dream,40.6,17.2,187.0,3475.0,Male
1,Dream,37.3,17.8,191.0,3350.0,Female
1,Dream,,17.9,190.0,3450.0,Female
2,Dream,40.9,16.6,187.0,3200.0,Female
2,Dream,46.8,16.5,189.0,3650.0,Female
1,Dream,37.2,18.1,178.0,3900.0,Male
2,Dream,50.8,19.0,210.0,4100.0,Male
2,Dream,,19.9,203.0,,Male
1,Dream,39.0,18.7,185.0,3650.0,Male
1,Dream,39.5,,188.0,,Female
2,Dream,55.8,,207.0,4000.0,Male
1,Dream,39.7,17.9,193.0,4250.0,Male
2,Dream,46.6,17.8,193.0,3800.0,Female
1,Dream,36.3,19.5,190.0,3800.0,Male
2,Dream,49.5,19.0,200.0,3800.0,Male
2,Dream,51.9,19.5,206.0,3950.0,Male
1,Dream,42.2,18.5,180.0,3550.0,Female
2,Dream,49.6,18.2,193.0,3775.0,Male
1,Dream,41.1,18.1,205.0,,Male
