species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
1,Torgersen,42.1,19.1,195.0,4000.0,Male
1,Torgersen,38.8,17.6,191.0,3275.0,Female
1,Torgersen,35.2,15.9,186.0,3050.0,Female
1,Torgersen,41.1,17.6,182.0,3200.0,Female
1,Torgersen,36.6,17.8,185.0,3700.0,Female
1,Torgersen,38.9,17.8,181.0,,Female
1,Torgersen,38.7,,195.0,3450.0,Female
1,Torgersen,35.7,17.0,189.0,,Female
1,Torgersen,39.3,20.6,190.0,3650.0,Male
1,Torgersen,37.7,19.8,198.0,3500.0,Male
1,Torgersen,44.1,18.0,210.0,4000.0,Male
1,Torgersen,39.7,18.4,190.0,3900.0,Male
1,Torgersen,38.6,17.0,188.0,2900.0,Female
1,Torgersen,39.5,17.4,186.0,3800.0,Female
1,Torgersen,42.0,20.2,190.0,4250.0,
1,Torgersen,35.1,19.4,193.0,4200.0,Male
1,Torgersen,42.9,17.6,196.0,4700.0,Male
1,Torgersen,39.1,18.7,181.0,3750.0,Male
1,Torgersen,35.5,17.5,190.0,3700.0,Female
1,Torgersen,42.8,18.5,195.0,4250.0,Male
1,Torgersen,42.5,20.7,197.0,4500.0,Male
1,Torgersen,41.5,18.3,195.0,4300.0,Male
1,Torgersen,41.8,19.4,198.0,,Male
1,Torgersen,33.5,19.0,190.0,3600.0,Female
1,Torgersen,35.9,16.6,190.0,3050.0,Female
1,Torgersen,34.6,17.2,189.0,3200.0,Female
1,Torgersen,36.7,18.8,187.0,,Female
1,Torgersen,34.1,18.1,193.0,3475.0,
1,Torgersen,40.6,19.0,199.0,4000.0,Male
1,Torgersen,41.4,,202.0,3875.0,Male
1,Torgersen,40.3,18.0,195.0,3250.0,Female
1,Torgersen,36.7,19.3,193.0,3450.0,Female
1,Torgersen,40.2,17.0,176.0,3450.0,Female
1,Torgersen,46.0,21.5,194.0,4200.0,Male
1,Torgersen,,,,,
1,Torgersen,39.0,17.1,191.0,3050.0,Female
1,Torgersen,39.6,17.2,196.0,3550.0,Female
1,Torgersen,38.5,17.9,190.0,3325.0,Female
1,Torgersen,40.9,16.8,191.0,3700.0,Female
1,Torgersen,37.8,17.1,186.0,3300.0,
1,Torgersen,37.2,19.4,184.0,3900.0,Male
