Shot,Velocity_1,Velocity_2,Velocity_3,High_Velocity,Cylinder_Pressure,Rapid_Rise_Time,Biscuit_Thickness,Clamping_Force,Cycle_Time,Pressure_Rise_Time,Casting_Pressure,Spray_Time,Spray_1_Time,Spray_2_Time,Machine_Status,_id,process_missing_count,process_missing_flag,all_process_missing_flag
320,,,,,,,,,,,,,,,0,27200320,14,True,True
321,,,,,,,,,,,,,,,0,27210321,14,True,True
322,,,,,,,,,,,,,,,0,27220322,14,True,True
323,,,,,,,,,,,,,,,0,27230323,14,True,True
324,,,,,,,,,,,,,,,0,27240324,14,True,True
325,,,,,,,,,,,,,,,1,27250325,14,True,True
326,,,,,,,,,,,,,,,1,27260326,14,True,True
327,,,,,,,,,,,,,,,1,27270327,14,True,True
328,,,,,,,,,,,,,,,1,27280328,14,True,True
329,,,,,,,,,,,,,,,1,27290329,14,True,True
330,,,,,,,,,,,,,,,1,27300330,14,True,True
331,,,,,,,,,,,,,,,1,27310331,14,True,True
332,,,,,,,,,,,,,,,1,27320332,14,True,True
333,,,,,,,,,,,,,,,1,27330333,14,True,True
334,,,,,,,,,,,,,,,1,27340334,14,True,True
335,,,,,,,,,,,,,,,1,27350335,14,True,True
336,,,,,,,,,,,,,,,1,27360336,14,True,True
337,,,,,,,,,,,,,,,0,27370337,14,True,True
338,,,,,,,,,,,,,,,0,27380338,14,True,True
339,,,,,,,,,,,,,,,0,27390339,14,True,True
340,,,,,,,,,,,,,,,0,27400340,14,True,True
341,,,,,,,,,,,,,,,0,27410341,14,True,True
342,,,,,,,,,,,,,,,0,27420342,14,True,True
343,,,,,,,,,,,,,,,0,27430343,14,True,True
344,,,,,,,,,,,,,,,0,27440344,14,True,True
345,,,,,,,,,,,,,,,0,27450345,14,True,True
346,,,,,,,,,,,,,,,0,27460346,14,True,True
347,,,,,,,,,,,,,,,0,27470347,14,True,True
348,,,,,,,,,,,,,,,0,27480348,14,True,True
349,,,,,,,,,,,,,,,0,27490349,14,True,True
350,,,,,,,,,,,,,,,0,27500350,14,True,True
