model,threshold,PR_AUC,precision,recall,f1,TN,FP,FN,TP
Logistic Regression,0.3,0.5711845090516514,0.05259975816203144,0.8365384615384616,0.09897610921501707,3051,1567,17,87
Logistic Regression,0.35,0.5711845090516514,0.06751054852320675,0.7692307692307693,0.12412723041117145,3513,1105,24,80
Logistic Regression,0.4,0.5711845090516514,0.09771573604060914,0.7403846153846154,0.1726457399103139,3907,711,27,77
Logistic Regression,0.45,0.5711845090516514,0.14940239043824702,0.7211538461538461,0.24752475247524752,4191,427,29,75
Logistic Regression,0.5,0.5711845090516514,0.23202614379084968,0.6826923076923077,0.3463414634146341,4383,235,33,71
Random Forest,0.3,0.6610283165943909,0.1205298013245033,0.875,0.21187427240977882,3954,664,13,91
Random Forest,0.35,0.6610283165943909,0.1732776617954071,0.7980769230769231,0.2847341337907376,4222,396,21,83
Random Forest,0.4,0.6610283165943909,0.26755852842809363,0.7692307692307693,0.3970223325062035,4399,219,24,80
Random Forest,0.45,0.6610283165943909,0.37254901960784315,0.7307692307692307,0.4935064935064935,4490,128,28,76
Random Forest,0.5,0.6610283165943909,0.4550898203592814,0.7307692307692307,0.5608856088560885,4527,91,28,76
Gradient Boosting,0.3,0.644623600534441,0.7682926829268293,0.6057692307692307,0.6774193548387096,4599,19,41,63
Gradient Boosting,0.35,0.644623600534441,0.7532467532467533,0.5576923076923077,0.6408839779005525,4599,19,46,58
Gradient Boosting,0.4,0.644623600534441,0.7631578947368421,0.5576923076923077,0.6444444444444445,4600,18,46,58
Gradient Boosting,0.45,0.644623600534441,0.7777777777777778,0.5384615384615384,0.6363636363636364,4602,16,48,56
Gradient Boosting,0.5,0.644623600534441,0.8360655737704918,0.49038461538461536,0.6181818181818182,4608,10,53,51
